AttributeColumn,Match,Analyte,StdUnits
AqLi_ppm,Unmatched,NULL,NULL
AqLu_ppm,Unmatched,NULL,NULL
AqMg%,Unmatched,NULL,NULL
AqMn_ppm,Unmatched,NULL,NULL
AqMo_ppm,Unmatched,NULL,NULL
AqNa%,Unmatched,NULL,NULL
AqNb_ppm,Unmatched,NULL,NULL
AqNd_ppm,Unmatched,NULL,NULL
AqNi_ppm,Unmatched,NULL,NULL
AqPb_ppm,Unmatched,NULL,NULL
AqPd_ppm,Unmatched,NULL,NULL
AqPr_ppm,Unmatched,NULL,NULL
AqPt_ppm,Unmatched,NULL,NULL
AqRb_ppm,Unmatched,NULL,NULL
AqRe_ppm,Unmatched,NULL,NULL
AqSb_ppm,Unmatched,NULL,NULL
AqSc_ppm,Unmatched,NULL,NULL
AqSe_ppm,Unmatched,NULL,NULL
AqSm_ppm,Unmatched,NULL,NULL
AqSn_ppm,Unmatched,NULL,NULL
AqSr_ppm,Unmatched,NULL,NULL
AqTa_ppm,Unmatched,NULL,NULL
AqTb_ppm,Unmatched,NULL,NULL
AqTe_ppm,Unmatched,NULL,NULL
AqTh_ppm,Unmatched,NULL,NULL
AqTi_ppm,Unmatched,NULL,NULL
AqTl_ppm,Unmatched,NULL,NULL
AqTm_ppm,Unmatched,NULL,NULL
AqU_ppm,Unmatched,NULL,NULL
AqV_ppm,Unmatched,NULL,NULL
AqW_ppm,Unmatched,NULL,NULL
AqY_ppm,Unmatched,NULL,NULL
AqYb_ppm,Unmatched,NULL,NULL
AqZn_ppm,Unmatched,NULL,NULL
AqZr_ppm,Unmatched,NULL,NULL
Aqua Regia Average,Unmatched,NULL,NULL
Ar,Unmatched,NULL,NULL
Ar_pct,Unmatched,NULL,NULL
Aresenic,Unmatched,NULL,NULL
Ars,Exact,As,PPM
Ars plusminus,Confidence,NULL,NULL
Ars(PPM),Start_sep,As,PPM
Ars1,Start_num,As,PPM
Ars2,Start_num,As,PPM
Ars3,Start_num,As,PPM
Ars4,Start_num,As,PPM
Ars5,Start_num,As,PPM
Ars_0_ULTRA_AR102_ppm_LDL0_2,Start_sep,As,PPM
Ars_0_ppm,Start_sep,As,PPM
Ars_1,Start_sep,As,PPM
Ars_100,Start_sep,As,PPM
Ars_101,Start_sep,As,PPM
Ars_102,Start_sep,As,PPM
Ars_103,Start_sep,As,PPM
Ars_104,Start_sep,As,PPM
Ars_105,Start_sep,As,PPM
Ars_1?,Start_sep,As,PPM
Ars_2,Start_sep,As,PPM
Ars_2ACID_,Start_sep,As,PPM
Ars_3,Start_sep,As,PPM
Ars_3?,Start_sep,As,PPM
Ars_4,Start_sep,As,PPM
Ars_4A/MS_ppm,Start_sep,As,PPM
Ars_4A_ICPMS_ppm,Start_sep,As,PPM
Ars_AQR64_ppm_0_0_1,Start_sep,As,PPM
Ars_AQRICP_ppm_0_0_1,Start_sep,As,PPM
Ars_AR3,Start_sep,As,PPM
Ars_ARMS_ppm,Start_sep,As,PPM
Ars_AR_ICPOES,Start_sep,As,PPM
Ars_AR_ICPOES_ppm,Start_sep,As,PPM
Ars_ATOES_ppm,Start_sep,As,PPM
Ars_AX/OES_ppm_1,Start_sep,As,PPM
Ars_B/AAS_ppm_0,Start_sep,As,PPM
Ars_B25/MS_ppm_0_0_5,Start_sep,As,PPM
Ars_CONC,Start_sep,As,PPM
Ars_DL,Start_sep,As,PPM
Ars_DOES_ppm,Start_sep,As,PPM
Ars_EL_ppb,Start_sep,As,PPM
Ars_Error,Confidence,NULL,NULL
Ars_HFICP_ppm_0_0_1,Start_sep,As,PPM
Ars_ICP102,Start_sep,As,PPM
Ars_ICP302,Start_sep,As,PPM
Ars_MEICP61_ppm,Start_sep,As,PPM
Ars_MS,Start_sep,As,PPM
Ars_PERCENT,Start_sep,As,PPM
Ars_Q-AR1MS_ppm_0_0_2,Start_sep,As,PPM
Ars_Rpt0,Start_sep,As,PPM
Ars_Rpt0_%_As-OG62,Start_sep,As,PPM
Ars_Rpt0_AR102_ppm,Start_sep,As,PPM
Ars_Rpt0_GI201_ppm,Start_sep,As,PPM
Ars_Rpt0_GS201_ppm,Start_sep,As,PPM
Ars_Rpt0_I104_ppm,Start_sep,As,PPM
Ars_Rpt0_I300_ppm,Start_sep,As,PPM
Ars_Rpt0_ICP302_ppm,Start_sep,As,PPM
Ars_Rpt0_ME-ICP41_ppm,Start_sep,As,PPM
Ars_Rpt0_MEICP43_ppm,Start_sep,As,PPM
Ars_Rpt0_MEICP61_ppm,Start_sep,As,PPM
Ars_Rpt0_PPM_B/AAS,Start_sep,As,PPM
Ars_Rpt0_PPM_UKN,Start_sep,As,PPM
Ars_Rpt0_PPM_UNKN,Start_sep,As,PPM
Ars_Rpt0_XRF-1_ppm,Start_sep,As,PPM
Ars_Rpt0_XX_ppm,Start_sep,As,PPM
Ars_Rpt0_ppm_4A_ICPES,Start_sep,As,PPM
Ars_Rpt0_ppm_AR102,Start_sep,As,PPM
Ars_Rpt0_ppm_AT/OES,Start_sep,As,PPM
Ars_Rpt0_ppm_B/AAS,Start_sep,As,PPM
Ars_Rpt0_ppm_ME-ICP43,Start_sep,As,PPM
Ars_Rpt0_ppm_ME-ICP61,Start_sep,As,PPM
Ars_Rpt0_ppm_UN_UN,Start_sep,As,PPM
Ars_UNKN_ppm,Start_sep,As,PPM
Ars_Unkn_Unkn_0,Start_sep,As,PPM
Ars_pct,Start_sep,As,PPM
Ars_plot,Start_sep,As,PPM
Ars_ppb,Start_sep,As,PPM
Ars_ppm,Start_sep,As,PPM
Ars_ppm1,Start_sep,As,PPM
Ars_ppm_Soil3Beam,Start_sep,As,PPM
Ars_ppm_ppm_0_2_,Start_sep,As,PPM
Arsenic,Exact,As,PPM
Arsenic (ppm),Start_sep,As,PPM
Arsenic ppm,Start_sep,As,PPM
Arsenic ppm (IC225),Start_sep,As,PPM
Arsenic1,Start_num,As,PPM
Arsenic2,Start_num,As,PPM
Arsenic_ICP,Start_sep,As,PPM
Arsenic_ppb,Start_sep,As,PPM
Arsenic_ppm,Start_sep,As,PPM
Arsenics,Unmatched,NULL,NULL
As,Exact,As,PPM
As   m,Start_sep,As,PPM
As   ppm,Start_sep,As,PPM
As  +/-,Confidence,NULL,NULL
As  ppb,Start_sep,As,PPM
As  ppm,Start_sep,As,PPM
As %,Start_sep,As,PPM
As (),Start_sep,As,PPM
As (0.2),Start_sep,As,PPM
As (2 ppm),Start_sep,As,PPM
As (AR),Start_sep,As,PPM
As (UT),Start_sep,As,PPM
As (ppm),Start_sep,As,PPM
As *,Start_sep,As,PPM
As +/-,Confidence,NULL,NULL
As -  ICPMS,Start_sep,As,PPM
As / %,Start_sep,As,PPM
As / ppm,Start_sep,As,PPM
As 1,Start_sep,As,PPM
As 2,Start_sep,As,PPM
As A,Start_sep,As,PPM
As A/MS,Start_sep,As,PPM
As AAS,Start_sep,As,PPM
As ALS,Start_sep,As,PPM
As AR,Start_sep,As,PPM
As ARM1,Start_sep,As,PPM
As ATMS ppm,Start_sep,As,PPM
As ATOES ppm,Start_sep,As,PPM
As Ave,Start_sep,As,PPM
As Average,Start_sep,As,PPM
As B,Start_sep,As,PPM
As B/AAS,Start_sep,As,PPM
As B/MS,Start_sep,As,PPM
As B/OES,Start_sep,As,PPM
As Concentration,Start_sep,As,PPM
As Confidance 2SD,Confidence,NULL,NULL
As Confidance 2SD 2 ?,Confidence,NULL,NULL
As Corr,Start_sep,As,PPM
As Detection Limit ppm,Confidence,NULL,NULL
As Error,Confidence,NULL,NULL
As Error 1s,Confidence,NULL,NULL
As Error 2SD,Confidence,NULL,NULL
As IC9,Start_sep,As,PPM
As LOD%,Start_sep,As,PPM
As MMI-M PPB,Start_sep,As,PPM
As Received Ash,Start_sep,As,PPM
As Received Fixed Carbon,Start_sep,As,PPM
As Received Relative Density,Start_sep,As,PPM
As Received Total Moisture,Start_sep,As,PPM
As Received Volatile Matter,Start_sep,As,PPM
As Rpt,Start_sep,As,PPM
As Total,Start_sep,As,PPM
As UNK ppm,Start_sep,As,PPM
As XRF,Start_sep,As,PPM
As _100,Start_sep,As,PPM
As _101,Start_sep,As,PPM
As _Err,Confidence,NULL,NULL
As corr,Start_sep,As,PPM
As dtr,Start_sep,As,PPM
As plot ppm,Start_sep,As,PPM
As ppb,Start_sep,As,PPM
As ppb MS18,Start_sep,As,PPM
As ppm,Start_sep,As,PPM
As ppm  HFICP,Start_sep,As,PPM
As ppm (not calibrated),Start_sep,As,PPM
As ppm AR,Start_sep,As,PPM
As ppm ME-MS41,Start_sep,As,PPM
As ppm MS61,Start_sep,As,PPM
As ppm Sec,Start_sep,As,PPM
As%,Start_sep,As,PPM
As(1),Start_sep,As,PPM
As(100),Start_sep,As,PPM
As(10ppm),Start_sep,As,PPM
As(1ppm),Start_sep,As,PPM
As(2),Start_sep,As,PPM
As(AR),Start_sep,As,PPM
As(AR)_ppm,Start_sep,As,PPM
As(CS),Start_sep,As,PPM
As(P)_ppm,Start_sep,As,PPM
As(R),Start_sep,As,PPM
As(S),Start_sep,As,PPM
As(ppb),Start_sep,As,PPM
As(ppm),Start_sep,As,PPM
As(ppm) BIAAS,Start_sep,As,PPM
As(ppm)(2ppm),Start_sep,As,PPM
As+/-,Confidence,NULL,NULL
As-1,Start_sep,As,PPM
As-1VE-ACME-0_1,Start_sep,As,PPM
As-2,Start_sep,As,PPM
As-4A/OE-ppm,Start_sep,As,PPM
As-75um,Start_sep,As,PPM
As-AQR1-ACT-0_5,Start_sep,As,PPM
As-AR10MS-MIN-0_5,Start_sep,As,PPM
As-AT/MS-GENALY-1,Start_sep,As,PPM
As-ATMS-ppm,Start_sep,As,PPM
As-ATOES-ppm,Start_sep,As,PPM
As-B/AAS-GENALY-10,Start_sep,As,PPM
As-B/AAS10,Start_sep,As,PPM
As-B/AAS5,Start_sep,As,PPM
As-CMS-ppm,Start_sep,As,PPM
As-CULL_UNKN,Start_sep,As,PPM
As-HFOES-ACT-5,Start_sep,As,PPM
As-ICP302-ULTRA-1,Start_sep,As,PPM
As-ICP41-ppm,Start_sep,As,PPM
As-ICPMS,Start_sep,As,PPM
As-ME-ICP61-ppm,Start_sep,As,PPM
As-Rp1,Start_sep,As,PPM
As-Rp1_4A/MS_ppm_1,Start_sep,As,PPM
As-UNK-ppm,Start_sep,As,PPM
As-UNKN_AAS-MINLAB-10,Start_sep,As,PPM
As-XRF,Start_sep,As,PPM
As-XRF-1-SGS-1,Start_sep,As,PPM
As-e,Start_sep,As,PPM
As-ppb_ME-MS23,Start_sep,As,PPM
As-ppm,Start_sep,As,PPM
As-ppmICP40Q,Start_sep,As,PPM
As-ppm_4A/OE,Start_sep,As,PPM
As-ppm_ME-4ACD81,Start_sep,As,PPM
As-ppm_ME-ICP43,Start_sep,As,PPM
As-ppm_ME-MS42,Start_sep,As,PPM
As-ppm_ME-MS43,Start_sep,As,PPM
As-ppm_ME-MS61r,Start_sep,As,PPM
As/+/-,Confidence,NULL,NULL
As1,Start_num,As,PPM
As1 ppm,Unmatched,NULL,NULL
As10,Start_num,As,PPM
As100,Start_num,As,PPM
As101,Start_num,As,PPM
As102,Start_num,As,PPM
As103,Start_num,As,PPM
As104,Start_num,As,PPM
As1_B/AAS,Unmatched,NULL,NULL
As1_ppm,Unmatched,NULL,NULL
As1_rpt,Unmatched,NULL,NULL
As1ppb,Unmatched,NULL,NULL
As1ppm,Unmatched,NULL,NULL
As1ppm1,Unmatched,NULL,NULL
As2,Start_num,As,PPM
As2 ppm,Unmatched,NULL,NULL
As2(ppm),Unmatched,NULL,NULL
As20,Start_num,As,PPM
As2O3,Exact,As2O3,PPM
As2O3%,Start_sep,As2O3,PPM
As2O3_101,Start_sep,As2O3,PPM
As2O3_2,Start_sep,As2O3,PPM
As2O3_CALC_ppm,Start_sep,As2O3,PPM
As2O3_XRF_,Start_sep,As2O3,PPM
As2O3_XRF_pct,Start_sep,As2O3,PPM
As2O3_pct,Start_sep,As2O3,PPM
As2O3_pct_ME-XRF21n,Start_sep,As2O3,PPM
As2O3_ppm,Start_sep,As2O3,PPM
As2_PPM,Unmatched,NULL,NULL
As2_ppm,Unmatched,NULL,NULL
As2ppm,Unmatched,NULL,NULL
As4,Start_num,As,PPM
As75,Start_num,As,PPM
As80,Start_num,As,PPM
As80R,Unmatched,NULL,NULL
As80R_ppm,Unmatched,NULL,NULL
As80_ppm,Unmatched,NULL,NULL
AsA/MSppm2,Unmatched,NULL,NULL
AsA/OESppm2,Unmatched,NULL,NULL
AsAAS,Unmatched,NULL,NULL
AsAR101ppm1,Unmatched,NULL,NULL
AsAR101ppm5,Unmatched,NULL,NULL
AsAR102,Unmatched,NULL,NULL
AsAR102ppm_02,Unmatched,NULL,NULL
AsAR102ppm_2,Unmatched,NULL,NULL
AsARMSppm_02,Unmatched,NULL,NULL
AsB/AASppm5,Unmatched,NULL,NULL
AsGA201ppm100,Unmatched,NULL,NULL
AsGI201ppm10,Unmatched,NULL,NULL
AsGI201ppm20,Unmatched,NULL,NULL
AsGN801ppm1,Unmatched,NULL,NULL
AsGN801ppm2,Unmatched,NULL,NULL
AsGS201ppm,Unmatched,NULL,NULL
AsGS201ppm1,Unmatched,NULL,NULL
AsHA201ppm1,Unmatched,NULL,NULL
AsI104ppm2,Unmatched,NULL,NULL
AsI300ppm2,Unmatched,NULL,NULL
AsICP102ppm5,Unmatched,NULL,NULL
AsICP302,Unmatched,NULL,NULL
AsICP302ppm1,Unmatched,NULL,NULL
AsICP302ppm2,Unmatched,NULL,NULL
AsICP302ppm_5,Unmatched,NULL,NULL
AsLimitLower,Confidence,NULL,NULL
AsM25MSppm1,Unmatched,NULL,NULL
AsM50MS6ppm,Unmatched,NULL,NULL
AsM50MS6ppm1,Unmatched,NULL,NULL
AsME,Unmatched,NULL,NULL
AsMMI,Unmatched,NULL,NULL
AsMS1ppm1,Unmatched,NULL,NULL
AsMS721ppm1,Unmatched,NULL,NULL
AsN701ppm1,Unmatched,NULL,NULL
AsNAAppm,Unmatched,NULL,NULL
AsNAAppm1,Unmatched,NULL,NULL
AsO_pct,Start_sep,AsO,PCT
AsPCNT,Start_Conc,As,PPM
AsPPM1,Start_Conc,As,PPM
AsR,Unmatched,NULL,NULL
AsR1,Unmatched,NULL,NULL
AsR2,Unmatched,NULL,NULL
AsRES,Unmatched,NULL,NULL
AsRPT,Unmatched,NULL,NULL
AsRR,Unmatched,NULL,NULL
AsRS,Unmatched,NULL,NULL
AsR_80,Unmatched,NULL,NULL
AsR_Bleg,Unmatched,NULL,NULL
AsR_ppm,Unmatched,NULL,NULL
AsRp1_B5_OES_ppm,Unmatched,NULL,NULL
AsRp1_B_AAS_ppm,Unmatched,NULL,NULL
AsSADOESppm2,Unmatched,NULL,NULL
AsSIG,Unmatched,NULL,NULL
AsXRF-1ppm1,Unmatched,NULL,NULL
AsXXppm,Unmatched,NULL,NULL
AsXXppm2,Unmatched,NULL,NULL
As_,Start_sep,As,PPM
As_%,Start_sep,As,PPM
As_%_ME-OG62,Start_sep,As,PPM
As_+/-,Confidence,NULL,NULL
As_+1mm,Start_sep,As,PPM
As_+1mm_Chk,Start_sep,As,PPM
As_0,Start_sep,As,PPM
As_00MXA,Start_sep,As,PPM
As_00MXA_ppm,Start_sep,As,PPM
As_00MXB,Start_sep,As,PPM
As_00MXB_ppm,Start_sep,As,PPM
As_00Q0B_ppm,Start_sep,As,PPM
As_00XAB_ppm,Start_sep,As,PPM
As_00XUC_ppm,Start_sep,As,PPM
As_00ZZZ_ppm,Start_sep,As,PPM
As_05ppm_ICP302,Start_sep,As,PPM
As_1,Start_sep,As,PPM
As_100,Start_sep,As,PPM
As_1007,Start_sep,As,PPM
As_101,Start_sep,As,PPM
As_1011,Start_sep,As,PPM
As_102,Start_sep,As,PPM
As_1027,Start_sep,As,PPM
As_103,Start_sep,As,PPM
As_104,Start_sep,As,PPM
As_105,Start_sep,As,PPM
As_106,Start_sep,As,PPM
As_107,Start_sep,As,PPM
As_108,Start_sep,As,PPM
As_109,Start_sep,As,PPM
As_110,Start_sep,As,PPM
As_12,Start_sep,As,PPM
As_14,Start_sep,As,PPM
As_16,Start_sep,As,PPM
As_162,Start_sep,As,PPM
As_17,Start_sep,As,PPM
As_180,Start_sep,As,PPM
As_1AMS_ppm,Start_sep,As,PPM
As_1DX15_p,Start_sep,As,PPM
As_1DX15_ppm,Start_sep,As,PPM
As_2,Start_sep,As,PPM
As_200,Start_sep,As,PPM
As_20EX1_MS_ppm,Start_sep,As,PPM
As_20MXA_ppm,Start_sep,As,PPM
As_20Q0B_ppm,Start_sep,As,PPM
As_20Q0D_ppm,Start_sep,As,PPM
As_20XAB_ppm,Start_sep,As,PPM
As_27,Start_sep,As,PPM
As_2SE_ppm,Start_sep,As,PPM
As_2ppm_AT_OES,Start_sep,As,PPM
As_3,Start_sep,As,PPM
As_3A_ICP_,Start_sep,As,PPM
As_3A_ICP_OES_ppm,Start_sep,As,PPM
As_4,Start_sep,As,PPM
As_40MXB_ppm,Start_sep,As,PPM
As_40Q0D_ppm,Start_sep,As,PPM
As_42MXA_ppm,Start_sep,As,PPM
As_42Q0B_ppm,Start_sep,As,PPM
As_47,Start_sep,As,PPM
As_4A/MS,Start_sep,As,PPM
As_4A/MS_ppm,Start_sep,As,PPM
As_4ABMS_ppm,Start_sep,As,PPM
As_4AHOE_ppm,Start_sep,As,PPM
As_4AMS_ppm,Start_sep,As,PPM
As_4AOE_ppm,Start_sep,As,PPM
As_4HSIAM_ppm,Start_sep,As,PPM
As_4HSIMS_ppm,Start_sep,As,PPM
As_5,Start_sep,As,PPM
As_500,Start_sep,As,PPM
As_52,Start_sep,As,PPM
As_5PPM_ICP102,Start_sep,As,PPM
As_5ppm_AT_OES,Start_sep,As,PPM
As_6,Start_sep,As,PPM
As_7,Start_sep,As,PPM
As_74MXA_ppm,Start_sep,As,PPM
As_74Q0B_ppm,Start_sep,As,PPM
As_75,Start_sep,As,PPM
As_775,Start_sep,As,PPM
As_777,Start_sep,As,PPM
As_782,Start_sep,As,PPM
As_784,Start_sep,As,PPM
As_80,Start_sep,As,PPM
As_819,Start_sep,As,PPM
As_826,Start_sep,As,PPM
As_829,Start_sep,As,PPM
As_82MXD,Start_sep,As,PPM
As_82Q0D_ppm,Start_sep,As,PPM
As_870,Start_sep,As,PPM
As_87MXB_ppm,Start_sep,As,PPM
As_87Q0D_ppm,Start_sep,As,PPM
As_9,Start_sep,As,PPM
As_90,Start_sep,As,PPM
As_99ZZZ_ppm,Start_sep,As,PPM
As_A/MS,Start_sep,As,PPM
As_A/MS_m,Start_sep,As,PPM
As_A/OES_ppm,Start_sep,As,PPM
As_A102_ppm_0,Start_sep,As,PPM
As_A104_ppm_0,Start_sep,As,PPM
As_A105_ppm_0,Start_sep,As,PPM
As_A640_ppm_0,Start_sep,As,PPM
As_A649,Start_sep,As,PPM
As_AA7M_ppm_0,Start_sep,As,PPM
As_AA7_ppm_0,Start_sep,As,PPM
As_AAS,Start_sep,As,PPM
As_AD02,Start_sep,As,PPM
As_AD02_ICP,Start_sep,As,PPM
As_AD02_ICPMS,Start_sep,As,PPM
As_AD02_ICPMS_ppm,Start_sep,As,PPM
As_AD02_ICPMS_ppm_DSC,Start_sep,As,PPM
As_AD02_ICP_ppm,Start_sep,As,PPM
As_AD02_SCAN_ppm,Start_sep,As,PPM
As_AES,Start_sep,As,PPM
As_AG_PPM,Start_sep,As,PPM
As_ALS,Start_sep,As,PPM
As_AMS_ppm,Start_sep,As,PPM
As_AOES_ppm,Start_sep,As,PPM
As_AOES_ppm_dsc,Start_sep,As,PPM
As_AQ201_PPM,Start_sep,As,PPM
As_AQR1_ppm,Start_sep,As,PPM
As_AQR64C_ppm,Start_sep,As,PPM
As_AQR64_ppm,Start_sep,As,PPM
As_AQR75,Start_sep,As,PPM
As_AQRIMS_ppm,Start_sep,As,PPM
As_AR,Start_sep,As,PPM
As_AR-AAS_ppm,Start_sep,As,PPM
As_AR-ICPAES_ppm,Start_sep,As,PPM
As_AR-ICPMS_percent,Start_sep,As,PPM
As_AR-ICPOES_ppm,Start_sep,As,PPM
As_AR01_OE_ppm,Start_sep,As,PPM
As_AR10/MS_ppm,Start_sep,As,PPM
As_AR10/OE_ppm,Start_sep,As,PPM
As_AR1010_ppm,Start_sep,As,PPM
As_AR101_ppm,Start_sep,As,PPM
As_AR102,Start_sep,As,PPM
As_AR102_ppm_0,Start_sep,As,PPM
As_AR10MS_ppm,Start_sep,As,PPM
As_AR10OES_ppm,Start_sep,As,PPM
As_AR10OE_ppm,Start_sep,As,PPM
As_AR10_MS_ppm,Start_sep,As,PPM
As_AR10_OE,Start_sep,As,PPM
As_AR10_OES_ppm,Start_sep,As,PPM
As_AR25/MS_C,Start_sep,As,PPM
As_AR25/MS_F,Start_sep,As,PPM
As_AR25/MS_K,Start_sep,As,PPM
As_AR25/MS_ppm,Start_sep,As,PPM
As_AR25/MS_ppm_0,Start_sep,As,PPM
As_AR25MS_ppm,Start_sep,As,PPM
As_AR25MS_ppm_1,Start_sep,As,PPM
As_AR25OE_ppm,Start_sep,As,PPM
As_AR25_OE,Start_sep,As,PPM
As_AR25_OES_ppm,Start_sep,As,PPM
As_AR25_OE_1,Start_sep,As,PPM
As_AR25_ppm,Start_sep,As,PPM
As_AR305_ppm_0,Start_sep,As,PPM
As_AR40_ICPMS,Start_sep,As,PPM
As_AR40_ICPMS_ppm,Start_sep,As,PPM
As_ARAAS_1_ppm,Start_sep,As,PPM
As_ARAAS_2_ppm,Start_sep,As,PPM
As_ARICPMSs_PPM,Start_sep,As,PPM
As_ARM155_ppm,Start_sep,As,PPM
As_ARM1_ppm_0,Start_sep,As,PPM
As_ARM2_ppm,Start_sep,As,PPM
As_ARM2_ppm_0,Start_sep,As,PPM
As_ARM_40_ppm_0,Start_sep,As,PPM
As_ARU10MS_ppm,Start_sep,As,PPM
As_ARU25MS_ppm,Start_sep,As,PPM
As_ARU25OE_ppm,Start_sep,As,PPM
As_AR_AAS,Start_sep,As,PPM
As_AR_AAS_PPM,Start_sep,As,PPM
As_AR_AAS_ppm,Start_sep,As,PPM
As_AR_ICPMS_ppm,Start_sep,As,PPM
As_AR_ICPOES,Start_sep,As,PPM
As_AR_ICP_,Start_sep,As,PPM
As_AR_ICP_AES_ppm,Start_sep,As,PPM
As_AR_OES_,Start_sep,As,PPM
As_AR_OES_ppm,Start_sep,As,PPM
As_AR_PPM,Start_sep,As,PPM
As_AT/MS_ppm,Start_sep,As,PPM
As_AT/OES_ppm,Start_sep,As,PPM
As_ATMS_m,Start_sep,As,PPM
As_ATMS_ppm,Start_sep,As,PPM
As_ATMS_ppm_dsc,Start_sep,As,PPM
As_ATOES_ppm,Start_sep,As,PPM
As_AT_MS_p,Start_sep,As,PPM
As_AT_MS_ppm,Start_sep,As,PPM
As_AT_OES,Start_sep,As,PPM
As_AT_OES_ppm,Start_sep,As,PPM
As_AUARBM_ppm,Start_sep,As,PPM
As_AX/MS,Start_sep,As,PPM
As_AXOES_pct,Start_sep,As,PPM
As_AXOES_ppm,Start_sep,As,PPM
As_A_OES_ppm,Start_sep,As,PPM
As_Acc,Start_sep,As,PPM
As_Ave_ppm,Start_sep,As,PPM
As_Avg_ppm,Start_sep,As,PPM
As_B/AAS,Start_sep,As,PPM
As_B/AAS1,Start_sep,As,PPM
As_B/AAS2,Start_sep,As,PPM
As_B/AAS_ppm,Start_sep,As,PPM
As_B/AAS_ppm_0,Start_sep,As,PPM
As_B/AAS_ppm_1,Start_sep,As,PPM
As_B/MS_ppm,Start_sep,As,PPM
As_B25MS_ppm,Start_sep,As,PPM
As_B25_OES_ppm,Start_sep,As,PPM
As_B5_AAS_ppm,Start_sep,As,PPM
As_B5_OES_ppm,Start_sep,As,PPM
As_BAAS,Start_sep,As,PPM
As_BAAS_ppm,Start_sep,As,PPM
As_BHCMS_ppm,Start_sep,As,PPM
As_BMGS,Start_sep,As,PPM
As_BMS_m,Start_sep,As,PPM
As_BMS_ppm,Start_sep,As,PPM
As_BOES_pp,Start_sep,As,PPM
As_BOES_ppm,Start_sep,As,PPM
As_BVegMS_ppm,Start_sep,As,PPM
As_B_AAS,Start_sep,As,PPM
As_B_AAS_0,Start_sep,As,PPM
As_B_AAS_ppm,Start_sep,As,PPM
As_B_MS_ppm,Start_sep,As,PPM
As_B_OES,Start_sep,As,PPM
As_B_OES_ppm,Start_sep,As,PPM
As_Best,Start_sep,As,PPM
As_Bleg,Start_sep,As,PPM
As_CALC_HEAD_pct,Start_sep,As,PPM
As_CMS_ppm,Start_sep,As,PPM
As_COES_ppm,Start_sep,As,PPM
As_Chk,Start_sep,As,PPM
As_Chk_ppm,Start_sep,As,PPM
As_Conc,Start_sep,As,PPM
As_DL,Start_sep,As,PPM
As_DLUnits,Start_sep,As,PPM
As_DMS_ppm,Start_sep,As,PPM
As_DTR,Start_sep,As,PPM
As_DXMS_ppm,Start_sep,As,PPM
As_EXPL_ppb,Start_sep,As,PPM
As_Err,Confidence,NULL,NULL
As_Error,Confidence,NULL,NULL
As_Errror,Confidence,NULL,NULL
As_F650_ppm_0,Start_sep,As,PPM
As_FA1,Start_sep,As,PPM
As_FAAAS_ppm,Start_sep,As,PPM
As_FP6MS_ppm,Start_sep,As,PPM
As_Fus_%,Start_sep,As,PPM
As_GA115_ppm_0,Start_sep,As,PPM
As_GEN,Start_sep,As,PPM
As_GF_XRF_pct,Start_sep,As,PPM
As_GF_XRF_percent,Start_sep,As,PPM
As_GG334_ppm_0,Start_sep,As,PPM
As_GX401_ppm_0,Start_sep,As,PPM
As_H117_ppm_0,Start_sep,As,PPM
As_H649,Start_sep,As,PPM
As_HA140_ppm,Start_sep,As,PPM
As_HC104_ppm_0,Start_sep,As,PPM
As_HFICPUT4_ppm,Start_sep,As,PPM
As_HFICP_ppm,Start_sep,As,PPM
As_HHXRF_ppm,Start_sep,As,PPM
As_HMC,Start_sep,As,PPM
As_HXRF_ppm,Start_sep,As,PPM
As_HY_AAS,Start_sep,As,PPM
As_Head,Start_sep,As,PPM
As_Hydride,Start_sep,As,PPM
As_I104,Start_sep,As,PPM
As_I104_ppm,Start_sep,As,PPM
As_IC2L_ppm,Start_sep,As,PPM
As_IC2L_ppm_dsc,Start_sep,As,PPM
As_IC2M_ppm_0,Start_sep,As,PPM
As_IC2_ppm_0,Start_sep,As,PPM
As_IC3E,Start_sep,As,PPM
As_IC3E_ppm,Start_sep,As,PPM
As_IC3E_ppm_0,Start_sep,As,PPM
As_IC3M,Start_sep,As,PPM
As_IC3M_ppm_0,Start_sep,As,PPM
As_IC587,Start_sep,As,PPM
As_IC7_ppm_0,Start_sep,As,PPM
As_IC9_ppm_0,Start_sep,As,PPM
As_ICP102_ppm,Start_sep,As,PPM
As_ICP104_ppm,Start_sep,As,PPM
As_ICP12S_ppm,Start_sep,As,PPM
As_ICP302,Start_sep,As,PPM
As_ICP302_ICPMS_ppm,Start_sep,As,PPM
As_ICP302_ppm,Start_sep,As,PPM
As_ICP302_ppm_0,Start_sep,As,PPM
As_ICP304_ppm,Start_sep,As,PPM
As_ICP40Q,Start_sep,As,PPM
As_ICP40Q_PPM,Start_sep,As,PPM
As_ICP40Q_PPM_dsc,Start_sep,As,PPM
As_ICP40Q_ppm,Start_sep,As,PPM
As_ICPMS,Start_sep,As,PPM
As_ICPMS_ppm,Start_sep,As,PPM
As_ICPMS_ppm_DSC,Start_sep,As,PPM
As_ICPOES_ppm,Start_sep,As,PPM
As_ICP_m,Start_sep,As,PPM
As_ICP_ppm,Start_sep,As,PPM
As_ICP_ppm_0,Start_sep,As,PPM
As_IMS40Q,Start_sep,As,PPM
As_IMS40Q_,Start_sep,As,PPM
As_IMS40Q_PPM,Start_sep,As,PPM
